"Date","Price","Open","High","Low","Change %"
"12/22/2023","1.840","1.800","1.950","1.500","2.22%"
"12/21/2023","1.800","1.730","2.440","1.060","10.43%"
"12/20/2023","1.630","1.490","1.730","1.490","3.82%"
"12/19/2023","1.570","1.520","1.790","1.520","0.00%"
"12/18/2023","1.570","1.510","1.730","1.510","-0.63%"
"12/17/2023","1.580","1.570","1.670","1.470","0.64%"
"12/16/2023","1.570","1.470","1.620","1.470","0.00%"
"12/15/2023","1.570","1.470","1.730","1.470","0.00%"
"12/14/2023","1.570","1.410","1.760","1.410","-0.63%"
"12/13/2023","1.580","1.560","1.670","1.460","0.64%"
"12/12/2023","1.570","1.510","1.680","1.420","0.00%"
"12/11/2023","1.570","1.490","1.650","1.490","-0.63%"
"12/10/2023","1.580","1.570","1.630","1.490","6.04%"
"12/09/2023","1.490","1.630","1.630","1.490","-7.45%"
"12/08/2023","1.610","1.490","1.630","1.240","5.92%"
"12/07/2023","1.520","1.430","1.650","1.430","-6.75%"
"12/06/2023","1.630","1.510","1.660","1.510","5.16%"
"12/05/2023","1.550","1.520","1.670","1.500","1.31%"
"12/04/2023","1.530","1.450","1.670","1.290","-6.13%"
"12/03/2023","1.630","1.450","1.630","1.450","12.41%"
"12/02/2023","1.450","1.530","1.530","1.450","-11.04%"
"12/01/2023","1.630","1.450","1.650","1.290","0.00%"
"11/30/2023","1.630","1.450","1.670","1.450","1.87%"
"11/29/2023","1.600","1.480","1.640","1.480","1.27%"
"11/28/2023","1.580","1.380","1.710","1.380","0.00%"
"11/27/2023","1.580","1.410","1.650","1.410","-1.25%"
"11/26/2023","1.600","1.580","1.600","1.460","1.27%"
"11/25/2023","1.580","1.460","1.610","1.460","0.00%"
"11/24/2023","1.580","1.460","1.650","1.460","0.00%"
"11/23/2023","1.580","1.410","1.710","1.410","0.00%"
"11/22/2023","1.580","1.410","1.710","1.410","0.00%"
"11/21/2023","1.580","1.410","1.670","1.410","0.00%"
"11/20/2023","1.580","1.420","1.990","1.420","0.00%"
"11/19/2023","1.580","1.480","1.620","1.240","6.76%"
"11/18/2023","1.480","1.240","1.480","1.240","-6.33%"
"11/17/2023","1.580","1.390","1.650","1.240","0.00%"
"11/16/2023","1.580","1.320","1.650","1.320","3.27%"
"11/15/2023","1.530","1.370","1.650","1.370","-3.16%"
"11/14/2023","1.580","1.420","1.640","1.420","0.00%"
"11/13/2023","1.580","1.470","1.650","1.470","-0.63%"
"11/12/2023","1.590","1.580","1.630","1.450","0.63%"
"11/11/2023","1.580","1.500","1.610","1.450","0.00%"
"11/10/2023","1.580","1.450","1.650","1.450","0.00%"
"11/09/2023","1.580","1.430","1.620","1.430","0.00%"
"11/08/2023","1.580","1.430","1.650","1.430","0.00%"
"11/07/2023","1.580","1.480","1.650","1.440","0.00%"
"11/06/2023","1.580","1.410","1.630","1.400","-1.25%"
"11/05/2023","1.600","1.590","1.610","1.410","0.63%"
"11/04/2023","1.590","1.410","1.590","1.410","0.00%"
"11/03/2023","1.590","1.410","1.930","1.410","3.92%"
"11/02/2023","1.530","1.400","1.790","1.400","-3.77%"
"11/01/2023","1.590","1.410","1.650","1.410","0.00%"
"10/31/2023","1.590","1.380","1.650","1.380","3.92%"
"10/30/2023","1.530","1.410","1.770","1.410","-4.38%"
"10/29/2023","1.600","1.620","1.740","1.410","4.58%"
"10/28/2023","1.530","1.410","1.530","1.410","0.00%"
"10/27/2023","1.530","1.410","1.740","1.410","0.00%"
"10/26/2023","1.530","1.420","1.710","1.420","0.00%"
"10/25/2023","1.530","1.470","1.700","1.470","0.00%"
