"Date","Price","Open","High","Low","Change %"
"07/04/2023","1.960","2.000","2.060","1.960","0.00%"
"07/03/2023","1.960","1.970","2.070","1.910","-3.45%"
"07/02/2023","2.030","2.030","2.030","2.030","5.73%"
"07/01/2023","1.920","2.030","2.030","1.920","0.00%"
"06/30/2023","1.920","1.960","2.130","1.920","0.00%"
"06/29/2023","1.920","2.020","2.040","1.900","0.00%"
"06/28/2023","1.920","1.950","2.030","1.850","0.00%"
"06/27/2023","1.920","1.950","2.000","1.880","0.00%"
"06/26/2023","1.920","2.000","2.030","1.850","-2.04%"
"06/25/2023","1.960","2.000","2.030","1.960","0.00%"
"06/23/2023","1.960","2.060","2.060","1.840","-4.85%"
"06/22/2023","2.060","2.030","2.060","1.800","3.00%"
"06/21/2023","2.000","2.020","2.080","1.910","1.01%"
"06/20/2023","1.980","2.000","2.080","1.900","0.00%"
"06/19/2023","1.980","2.080","2.080","1.890","-1.00%"
"06/18/2023","2.000","2.070","2.090","2.000","-0.99%"
"06/17/2023","2.020","2.000","2.090","2.000","0.50%"
"06/16/2023","2.010","2.000","2.160","1.960","2.55%"
"06/15/2023","1.960","2.000","2.040","1.890","0.00%"
"06/14/2023","1.960","2.020","2.040","1.890","-1.01%"
"06/13/2023","1.980","2.000","2.030","1.910","1.02%"
"06/12/2023","1.960","1.970","2.040","1.850","-2.00%"
"06/11/2023","2.000","1.920","2.000","1.920","4.17%"
"06/10/2023","1.920","1.960","2.000","1.920","0.00%"
"06/09/2023","1.920","1.860","2.010","1.830","4.92%"
"06/08/2023","1.830","1.800","1.970","1.760","3.98%"
"06/07/2023","1.760","1.800","1.900","1.760","0.00%"
"06/06/2023","1.760","1.800","1.910","1.760","0.00%"
"06/05/2023","1.760","1.830","1.880","1.740","0.00%"
"06/04/2023","1.760","1.760","1.760","1.760","-3.83%"
"06/03/2023","1.830","1.830","1.830","1.830","3.39%"
"06/02/2023","1.770","1.800","1.910","1.760","-1.12%"
"06/01/2023","1.790","1.800","1.850","1.750","1.13%"
"05/31/2023","1.770","1.830","1.960","1.750","-1.12%"
"05/30/2023","1.790","1.890","1.910","1.720","0.56%"
"05/29/2023","1.780","1.900","1.900","1.780","-6.32%"
"05/28/2023","1.900","1.900","1.900","1.780","0.00%"
"05/27/2023","1.900","1.900","1.900","1.900","5.56%"
"05/26/2023","1.800","1.820","1.970","1.720","1.12%"
"05/25/2023","1.780","1.820","1.880","1.780","-1.11%"
"05/24/2023","1.800","1.830","1.840","1.690","2.86%"
"05/23/2023","1.750","1.750","1.830","1.710","2.34%"
"05/22/2023","1.710","1.740","1.750","1.680","-5.00%"
"05/21/2023","1.800","1.710","1.800","1.710","5.26%"
"05/20/2023","1.710","1.790","1.800","1.710","0.00%"
"05/19/2023","1.710","1.730","1.790","1.640","0.59%"
"05/18/2023","1.700","1.730","1.780","1.690","0.00%"
"05/17/2023","1.700","1.730","1.780","1.650","0.59%"
"05/16/2023","1.690","1.730","1.780","1.630","0.60%"
"05/15/2023","1.680","1.730","1.760","1.630","-0.59%"
"05/14/2023","1.690","1.730","1.760","1.690","-2.31%"
"05/13/2023","1.730","1.730","1.730","1.730","3.59%"
"05/12/2023","1.670","1.730","1.750","1.640","-4.57%"
"05/11/2023","1.750","1.740","1.750","1.640","0.00%"
"05/10/2023","1.750","1.740","1.750","1.630","0.00%"
"05/09/2023","1.750","1.740","1.780","1.610","6.06%"
"05/08/2023","1.650","1.860","1.860","1.620","-5.17%"
"05/07/2023","1.740","1.800","1.860","1.740","-6.45%"
"05/06/2023","1.860","1.740","1.860","1.740","6.29%"
"05/05/2023","1.750","1.780","1.820","1.610","0.57%"
"05/04/2023","1.740","1.780","1.860","1.670","0.00%"
"05/03/2023","1.740","1.850","1.890","1.710","-3.87%"
"05/02/2023","1.810","1.880","1.880","1.740","0.56%"
"05/01/2023","1.800","1.910","1.910","1.800","-4.26%"
"04/30/2023","1.880","1.880","1.880","1.880","4.44%"
"04/28/2023","1.800","1.780","1.890","1.740","0.00%"
"04/27/2023","1.800","1.860","1.880","1.690","1.69%"
"04/26/2023","1.770","1.820","1.970","1.690","-0.56%"
"04/25/2023","1.780","1.820","1.890","1.780","0.00%"
"04/24/2023","1.780","1.820","1.900","1.750","1.14%"
"04/23/2023","1.760","1.860","1.860","1.760","-3.30%"
"04/22/2023","1.820","1.820","1.820","1.820","3.41%"
"04/21/2023","1.760","1.800","1.860","1.720","0.00%"
"04/20/2023","1.760","1.800","1.910","1.730","0.00%"
"04/19/2023","1.760","1.800","1.900","1.690","0.00%"
"04/18/2023","1.760","1.920","1.920","1.740","-2.22%"
"04/17/2023","1.800","1.900","1.910","1.750","-5.26%"
"04/16/2023","1.900","1.730","1.900","1.730","9.83%"
