"Date","Price","Open","High","Low","Change %"
"03/12/2023","1.110","1.160","1.190","1.110","-4.31%"
"03/11/2023","1.160","1.160","1.160","1.160","4.50%"
"03/10/2023","1.110","0.850","1.160","0.810","30.59%"
"03/09/2023","0.850","0.970","1.100","0.850","-19.05%"
"03/08/2023","1.050","0.850","1.100","0.850","23.53%"
"03/07/2023","0.850","1.000","1.100","0.850","-17.48%"
"03/06/2023","1.030","0.990","1.080","0.820","8.42%"
"03/05/2023","0.950","0.940","0.990","0.940","1.06%"
"03/04/2023","0.940","0.990","1.010","0.940","-6.00%"
"03/03/2023","1.000","0.990","1.020","0.900","2.04%"
"03/02/2023","0.980","0.750","0.990","0.750","8.89%"
"03/01/2023","0.900","0.730","0.980","0.730","9.76%"
"02/28/2023","0.820","0.810","0.980","0.700","-12.77%"
"02/27/2023","0.940","0.860","1.000","0.700","0.00%"
"02/26/2023","0.940","0.940","0.940","0.940","0.00%"
"02/24/2023","0.940","0.850","0.950","0.760","0.00%"
"02/23/2023","0.940","0.750","0.980","0.710","9.30%"
"02/22/2023","0.860","0.750","1.000","0.720","0.00%"
"02/21/2023","0.860","0.760","0.920","0.730","-1.15%"
"02/20/2023","0.870","0.750","0.910","0.750","24.29%"
"02/19/2023","0.700","0.770","0.770","0.700","0.00%"
"02/18/2023","0.700","0.770","0.770","0.700","-22.22%"
"02/17/2023","0.900","0.770","0.910","0.770","0.00%"
"02/16/2023","0.900","0.880","0.920","0.740","5.88%"
"02/15/2023","0.850","0.750","0.900","0.680","21.43%"
"02/14/2023","0.700","0.880","0.960","0.700","-17.65%"
"02/13/2023","0.850","0.750","0.940","0.750","13.33%"
"02/12/2023","0.750","0.860","0.860","0.750","-18.48%"
"02/10/2023","0.920","0.880","0.930","0.770","8.24%"
"02/09/2023","0.850","0.750","0.930","0.750","2.41%"
"02/08/2023","0.830","0.850","0.890","0.740","-3.49%"
"02/07/2023","0.860","0.880","0.910","0.780","1.18%"
"02/06/2023","0.850","0.750","0.920","0.750","13.33%"
"02/05/2023","0.750","0.840","0.860","0.750","0.00%"
"02/04/2023","0.750","0.840","0.840","0.750","-10.71%"
"02/03/2023","0.840","0.750","0.900","0.740","12.00%"
"02/02/2023","0.750","0.750","0.910","0.750","-10.71%"
"02/01/2023","0.840","0.810","0.880","0.670","1.20%"
"01/31/2023","0.830","0.820","0.890","0.680","0.00%"
"01/30/2023","0.830","0.740","0.870","0.690","12.16%"
"01/29/2023","0.740","0.740","0.740","0.740","-10.84%"
"01/27/2023","0.830","0.870","0.870","0.760","0.00%"
"01/26/2023","0.830","0.770","0.870","0.770","0.00%"
"01/25/2023","0.830","0.820","0.900","0.750","-1.19%"
"01/24/2023","0.840","0.800","0.900","0.780","0.00%"
"01/23/2023","0.840","0.720","0.900","0.720","0.00%"
"01/22/2023","0.840","0.840","0.840","0.840","0.00%"
"01/20/2023","0.840","0.700","0.900","0.700","0.00%"
"01/19/2023","0.840","0.880","0.880","0.600","-1.18%"
"01/18/2023","0.850","0.880","0.900","0.800","0.00%"
"01/17/2023","0.850","0.700","0.900","0.620","0.00%"
"01/16/2023","0.850","0.710","0.900","0.690","1.19%"
"01/15/2023","0.840","0.800","0.840","0.800","25.37%"
"01/14/2023","0.670","0.670","0.670","0.670","11.67%"
"01/13/2023","0.600","0.670","0.670","0.580","-29.41%"
"01/12/2023","0.850","0.880","0.900","0.850","0.00%"
"01/11/2023","0.850","0.880","0.900","0.850","-1.16%"
"01/10/2023","0.860","0.850","0.900","0.850","1.18%"
"01/09/2023","0.850","0.880","0.900","0.670","0.00%"
"01/08/2023","0.850","0.850","0.850","0.850","0.00%"
"01/07/2023","0.850","0.850","0.850","0.850","0.00%"
"01/06/2023","0.850","0.880","0.900","0.850","0.00%"
"01/05/2023","0.850","0.880","0.900","0.850","1.19%"
"01/04/2023","0.840","0.850","0.880","0.820","2.44%"
"01/03/2023","0.820","0.850","0.850","0.820","0.00%"
"01/02/2023","0.820","0.850","0.850","0.820","0.00%"
"01/01/2023","0.820","0.820","0.820","0.820","0.00%"
"12/30/2022","0.820","0.850","0.850","0.820","-3.53%"
"12/29/2022","0.850","0.850","0.850","0.820","0.00%"
"12/28/2022","0.850","0.830","0.850","0.790","6.25%"
"12/27/2022","0.800","0.820","0.830","0.780","1.27%"
"12/26/2022","0.790","0.800","0.800","0.790","0.00%"
"12/23/2022","0.790","0.820","0.820","0.780","0.00%"
"12/22/2022","0.790","0.800","0.820","0.530","2.60%"
"12/21/2022","0.770","0.800","0.800","0.770","0.00%"
"12/20/2022","0.770","0.800","0.800","0.770","0.00%"
"12/19/2022","0.770","0.800","0.850","0.750","-287.80%"
"12/16/2022","-0.410","-0.340","-0.340","-0.410","10.81%"
"12/15/2022","-0.370","-0.370","-0.370","-0.370","5.71%"
"12/14/2022","-0.350","-0.060","-0.060","-0.350","-164.81%"
"12/13/2022","0.540","0.530","0.570","0.330","5.88%"
"12/12/2022","0.510","0.500","0.550","0.180","10.87%"
"12/09/2022","0.460","0.170","0.500","0.170","253.85%"
"12/08/2022","0.130","0.450","0.590","0.010","-68.29%"
"12/07/2022","0.410","0.450","0.450","0.410","0.00%"
"12/06/2022","0.410","0.330","0.410","0.010","32.26%"
"12/05/2022","0.310","0.010","0.410","-0.060","-1,650.00%"
"12/02/2022","-0.020","0.070","0.180","-0.160","-128.57%"
"12/01/2022","0.070","-0.090","0.070","-0.300","-158.33%"
"11/30/2022","-0.120","-0.030","0.120","-0.230","-233.33%"
"11/29/2022","0.090","0.370","0.500","-0.140","-74.29%"
"11/28/2022","0.350","0.200","0.400","0.160","0.00%"
"11/27/2022","0.350","0.350","0.350","0.350","0.00%"
"11/25/2022","0.350","0.390","0.390","0.170","2.94%"
"11/24/2022","0.340","0.380","0.400","0.210","3.03%"
"11/23/2022","0.330","0.380","0.380","0.100","-2.94%"
"11/22/2022","0.340","0.360","0.380","0.320","6.25%"
"11/21/2022","0.320","0.350","0.360","0.320","0.00%"
"11/20/2022","0.320","0.320","0.320","0.320","0.00%"
